new entry "ProjectileStrike_HailStrike"
type "SkillData"
data "SkillType" "ProjectileStrike"
data "ForGameMaster" "Yes"
data "Ability" "Water"
data "Tier" "Starter"
data "ActionPoints" "2"
data "Cooldown" "3"
data "Damage Multiplier" "33"
data "Damage Range" "10"
data "DamageType" "Water"
data "SkillProperties" "CreateSurface,1,,WaterFrozen,25;CHILLED,100,2;Douse"
data "TargetRadius" "13"
data "AreaRadius" "1"
data "DeathType" "FrozenShatter"
data "ExplodeRadius" "1"
data "StrikeCount" "3"
data "StrikeDelay" "150"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "ForceTarget" "No"
data "OverrideSkillLevel" "No"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "TargetProjectiles" "Yes"
data "ProjectileCount" "1"
data "ProjectileDelay" "0"
data "Angle" "0"
data "Height" "15"
data "SingleSource" "No"
data "Template" "c25210e0-36a3-4f0d-ac28-8c885d66db39"
data "Icon" "Skill_Water_HailStrike"
data "DisplayName" "ProjectileStrike_HailStrike_DisplayName"
data "DisplayNameRef" "Hail Strike"
data "Description" "ProjectileStrike_HailStrike_Description"
data "DescriptionRef" "Ice pellets fall from the sky, chilling enemies and dealing [1] damage. Creates Ice surface when targeted on the ground."
data "StatsDescriptionParams" "Damage"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Water_Prepare_Water_Root_01_Snow,KeepRot,Detach;RS3_FX_Skills_Water_Prepare_Water_Hand_01_Snow:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_aoe_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Water_Cast_AoE_Air_Root_01_Snow,KeepRot"
data "MemorizationRequirements" "WaterSpecialist 1"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Distribution" "Edge"
data "Shuffle" "No"
data "PreviewStrikeHits" "Yes"
data "CycleConditions" "Enemy;!Dead"

