new entry "Rain_Source"
type "SkillData"
data "SkillType" "Rain"
data "ForGameMaster" "Yes"
data "Ability" "Water"
data "Tier" "Master"
data "ActionPoints" "3"
data "Cooldown" "6"
data "Lifetime" "1"
data "SurfaceType" "Source"
data "SurfaceStatusChance" "100"
data "TargetRadius" "8"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "AreaRadius" "5"
data "TotalSurfaceCells" "250"
data "SurfaceGrowStep" "10"
data "SurfaceGrowInterval" "100"
data "MemorizationRequirements" "WaterSpecialist 5"
data "Icon" "Skill_SourceRain"
data "DisplayName" "Rain_Source_DisplayName"
data "DisplayNameRef" "Source Rain"
data "Description" "Rain_Source_Description"
data "DescriptionRef" "Infuse the air around you with source. Makes it rain source for 1 turn."
data "StatsDescriptionParams" "AreaRadius;Lifetime"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_water_01_start"
data "PrepareAnimationLoop" "skill_prepare_water_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Water_Prepare_Water_Root_01,KeepRot;RS3_FX_Skills_Water_Prepare_Water_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_aoe_water_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Water_Cast_AoE_Water_Root_01"
data "Memory Cost" "3"
data "Magic Cost" "3"
data "RainEffect" "RS3_FX_Environment_Rain_01"
data "ConsequencesStartTime" "1000"
data "CycleConditions" "Character;!Dead"

