new entry "Teleportation_ChainHook"
type "SkillData"
data "SkillType" "Teleportation"
data "ForGameMaster" "No"
data "IsEnemySkill" "No"
data "Ability" "Warrior"
data "Tier" "Adept"
data "Requirement" "MeleeWeapon"
data "ActionPoints" "2"
data "Cooldown" "5"
data "Damage Range" "1"
data "DamageType" "Physical"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "TargetRadius" "9"
data "AreaRadius" "1"
data "DeathType" "Physical"
data "HitRadius" "1"
data "Height" "1"
data "TeleportDelay" "500"
data "SkillProperties" "Target:CRIPPLED,100,1"
data "TargetConditions" "!Grounded;AllowDead;NonSelf"
data "TeleportSelf" "No"
data "TeleportSurface" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "Yes"
data "MemorizationRequirements" "WarriorLore 2"
data "Icon" "Skill_ChainHook"
data "DisplayName" "Teleportation_ChainHook_DisplayName"
data "DisplayNameRef" "Chain Grab"
data "Description" "Teleportation_ChainHook_Description"
data "DescriptionRef" "Pulls the target towards you."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_voodoo_01_start"
data "PrepareAnimationLoop" "skill_prepare_voodoo_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Warrior_Prepare_Warrior_Chain_root01,KeepRot;RS3_FX_Skills_Warrior_Prepare_Warrior_Chain_hand:Dummy_R_HandFX"
data "CastAnimation" "skill_cast_lash_01_cast"
data "CastTextEvent" "cast"
data "ForceMove" "Yes"
data "CycleConditions" "Character;!Dead"

