new entry "Zone_MyPull"
type "SkillData"
data "SkillType" "Zone"
data "ForGameMaster" "Yes"
data "Ability" "Air"
data "Tier" "Adept"
data "ActionPoints" "1"
data "Cooldown" "1"
data "TargetConditions" "Character;!Ally"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "Icon" "Skill_Fire_LaserRay"
data "DisplayName" "Zone_MyPull_DisplayName"
data "DisplayNameRef" "ZonePull"
data "Description" "Zone_MyPull_Description"
data "DescriptionRef" "Line an intense chain"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_divine_01_start"
data "PrepareAnimationLoop" "skill_prepare_divine_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Fire_Prepare_LaserRay_Hand_01_Texkey:Dummy_R_HandFX:hand01;RS3_FX_Skills_Fire_Prepare_LaserRay_Hand_02_Texkey:Dummy_R_HandFX:hand02;RS3_FX_Skills_Fire_Prepare_LaserRay_Overhead_Texkey,KeepRot:Dummy_OverheadFX:hand02;RS3_FX_Skills_Fire_Prepare_LaserRay_Root_01_SFX:Dummy_Root"
data "CastAnimation" "skill_cast_beam_fire_01_cast"
data "CastTextEvent" "castsurface"
data "CastEffect" "RS3_FX_Skills_Fire_Cast_LaserRay_Overhead_01:Dummy_OverheadFX;RS3_FX_GP_Beams_LaserRay_Beam_01,Beam:Dummy_OverheadFX,Dummy_Custom_Anim;RS3_FX_Skills_Fire_Cast_LaserRay_Attachment_01:Dummy_Custom_Anim"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "MemorizationRequirements" "AirSpecialist 2"
data "PushDistance" "-1"
data "Shape" "Square"
data "BackStart" "8"
data "FrontOffset" "1"
data "Range" "20"
data "Base" "1"

