new entry "NECROSIS"
type "StatusData"
data "StatusType" "DAMAGE"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "NECROSIS_DisplayName"
data "DisplayNameRef" "Necrosis"
data "Description" "NECROSIS_Description"
data "DescriptionRef" "Deals [1] damage per turn."
data "DescriptionParams" "Damage"
data "Icon" "Skill_corruption"
data "FormatColor" "Decay"
data "StatusEffect" "RS3_FX_GP_Status_Decaying_01"
data "MaterialType" "FadingOverlay"
data "MaterialApplyBody" "Yes"
data "MaterialApplyArmor" "Yes"
data "MaterialApplyWeapon" "No"
data "MaterialApplyNormalMap" "Yes"
data "MaterialFadeAmount" "3000"
data "StatsId" "Stats_Necrosis"
data "StackId" "Stack_Necrosis"
data "DamageEvent" "OnTurn"
data "DamageStats" "Damage_Necrosis"
data "DeathType" "Physical"
data "DamageCharacters" "Yes"
data "DamageItems" "No"
data "DamageTorches" "No"
data "PermanentOnTorch" "No"
data "SpawnBlood" "Yes"

