new entry "STEEL_SKIN"
type "StatusData"
data "StatusType" "HEALING"
data "ForGameMaster" "Yes"
data "InitiateCombat" "No"
data "BringIntoCombat" "Yes"
data "DisplayName" "STEEL_SKIN_DisplayName"
data "DisplayNameRef" "Steel Skin"
data "Description" "STEEL_SKIN_Description"
data "DescriptionRef" "Restoring [1] each turn."
data "DescriptionParams" "HealAmount"
data "Icon" "Skill_Polymorph_SteelSkin"
data "FormatColor" "Healing"
data "StatusEffect" "RS3_FX_GP_Status_SteelSkin_01"
data "StatsId" "Stats_SteelSkin"
data "StackId" "Stack_Skin"
data "HealingEvent" "OnApplyAndTurn"
data "HealStat" "PhysicalArmor"
data "HealType" "Qualifier"
data "HealValue" "40"
data "SkipInitialEffect" "No"

