treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
new treasuretable "ST_SkillbookAir"
new subtable "1,1"
object category "I_SKILLBOOK_Air_ShockingTouch",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_FavourableWind",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_LightningBolt",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_BlindingRadiance",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_EvasiveManeuver",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Teleportation_FreeFall",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_DazingBolt",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_ChainLightning",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Netherswap",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Apportation",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_PressureSpike",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_ElectricFence",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Tornado",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Superconductor",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Lightning",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_MassTeleport",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_Push",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Air_StormStrike",1,0,0,0,0,0,0,0
new treasuretable "ST_SkillbookEarth"
new subtable "1,1"
object category "I_SKILLBOOK_Earth_Fortify",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_PyroclasticRock",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_Contamination",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_PoisonDart",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_RockSpikes",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_MendMetal",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_WormTremor",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_ArtilleryPlant",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_PoisonWave",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_ReactiveArmor",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_Earthquake",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_AcidSpores",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_SiphonPoison",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_LivingWall",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_PyroclasticEruption",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Earth_ImpenetrableFortress",1,0,0,0,0,0,0,0
new treasuretable "ST_SkillbookFire"
new subtable "1,1"
object category "I_SKILLBOOK_Fire_Haste",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_Ignition",1,0,0,0,0,0,0,0
object category "I_SKILLBOOK_Fire_BurnMyEyes",1,0,0,0,0,0,0,0
